Countries Code,Countries,Age (86 categories) Code,Age (86 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Household size (7 categories) Code,Household size (7 categories),Observation
E92000001,England,0,Aged under 1 year,-8,Does not apply,0,0 people in household,0
E92000001,England,0,Aged under 1 year,-8,Does not apply,1,1 person in household,0
E92000001,England,0,Aged under 1 year,-8,Does not apply,2,2 people in household,0
E92000001,England,0,Aged under 1 year,-8,Does not apply,3,3 people in household,0
E92000001,England,0,Aged under 1 year,-8,Does not apply,4,4 people in household,0
E92000001,England,0,Aged under 1 year,-8,Does not apply,5,5 people in household,0
E92000001,England,0,Aged under 1 year,-8,Does not apply,6,6 or more people in household,0
E92000001,England,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",0,0 people in household,0
E92000001,England,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",1,1 person in household,93
E92000001,England,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",2,2 people in household,1193
E92000001,England,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",3,3 people in household,16062
E92000001,England,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",4,4 people in household,19075
E92000001,England,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",5,5 people in household,12166
E92000001,England,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",6,6 or more people in household,21765
E92000001,England,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",0,0 people in household,0
E92000001,England,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",1,1 person in household,63
E92000001,England,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",2,2 people in household,2528
E92000001,England,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",3,3 people in household,7470
E92000001,England,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",4,4 people in household,7458
E92000001,England,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",5,5 people in household,5033
E92000001,England,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",6,6 or more people in household,5975
E92000001,England,0,Aged under 1 year,3,Mixed or Multiple ethnic groups,0,0 people in household,0
E92000001,England,0,Aged under 1 year,3,Mixed or Multiple ethnic groups,1,1 person in household,62
E92000001,England,0,Aged under 1 year,3,Mixed or Multiple ethnic groups,2,2 people in household,4252
E92000001,England,0,Aged under 1 year,3,Mixed or Multiple ethnic groups,3,3 people in household,18978
E92000001,England,0,Aged under 1 year,3,Mixed or Multiple ethnic groups,4,4 people in household,14433
E92000001,England,0,Aged under 1 year,3,Mixed or Multiple ethnic groups,5,5 people in household,5908
E92000001,England,0,Aged under 1 year,3,Mixed or Multiple ethnic groups,6,6 or more people in household,4321
E92000001,England,0,Aged under 1 year,4,White,0,0 people in household,0
E92000001,England,0,Aged under 1 year,4,White,1,1 person in household,1009
E92000001,England,0,Aged under 1 year,4,White,2,2 people in household,22242
E92000001,England,0,Aged under 1 year,4,White,3,3 people in household,165623
E92000001,England,0,Aged under 1 year,4,White,4,4 people in household,138837
E92000001,England,0,Aged under 1 year,4,White,5,5 people in household,53722
E92000001,England,0,Aged under 1 year,4,White,6,6 or more people in household,35692
E92000001,England,0,Aged under 1 year,5,Other ethnic group,0,0 people in household,0
E92000001,England,0,Aged under 1 year,5,Other ethnic group,1,1 person in household,19
E92000001,England,0,Aged under 1 year,5,Other ethnic group,2,2 people in household,531
E92000001,England,0,Aged under 1 year,5,Other ethnic group,3,3 people in household,3793
E92000001,England,0,Aged under 1 year,5,Other ethnic group,4,4 people in household,4268
E92000001,England,0,Aged under 1 year,5,Other ethnic group,5,5 people in household,2549
E92000001,England,0,Aged under 1 year,5,Other ethnic group,6,6 or more people in household,3437
E92000001,England,1,Aged 1 year,-8,Does not apply,0,0 people in household,0
E92000001,England,1,Aged 1 year,-8,Does not apply,1,1 person in household,0
E92000001,England,1,Aged 1 year,-8,Does not apply,2,2 people in household,0
E92000001,England,1,Aged 1 year,-8,Does not apply,3,3 people in household,0
E92000001,England,1,Aged 1 year,-8,Does not apply,4,4 people in household,0
E92000001,England,1,Aged 1 year,-8,Does not apply,5,5 people in household,0
E92000001,England,1,Aged 1 year,-8,Does not apply,6,6 or more people in household,0
E92000001,England,1,Aged 1 year,1,"Asian, Asian British or Asian Welsh",0,0 people in household,0
E92000001,England,1,Aged 1 year,1,"Asian, Asian British or Asian Welsh",1,1 person in household,30
E92000001,England,1,Aged 1 year,1,"Asian, Asian British or Asian Welsh",2,2 people in household,1538
E92000001,England,1,Aged 1 year,1,"Asian, Asian British or Asian Welsh",3,3 people in household,17190
E92000001,England,1,Aged 1 year,1,"Asian, Asian British or Asian Welsh",4,4 people in household,21155
E92000001,England,1,Aged 1 year,1,"Asian, Asian British or Asian Welsh",5,5 people in household,13428
E92000001,England,1,Aged 1 year,1,"Asian, Asian British or Asian Welsh",6,6 or more people in household,21890
E92000001,England,1,Aged 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",0,0 people in household,0
E92000001,England,1,Aged 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",1,1 person in household,11
E92000001,England,1,Aged 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",2,2 people in household,3010
E92000001,England,1,Aged 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",3,3 people in household,7674
E92000001,England,1,Aged 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",4,4 people in household,8316
E92000001,England,1,Aged 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",5,5 people in household,5704
E92000001,England,1,Aged 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",6,6 or more people in household,6378
E92000001,England,1,Aged 1 year,3,Mixed or Multiple ethnic groups,0,0 people in household,0
E92000001,England,1,Aged 1 year,3,Mixed or Multiple ethnic groups,1,1 person in household,5
E92000001,England,1,Aged 1 year,3,Mixed or Multiple ethnic groups,2,2 people in household,5218
E92000001,England,1,Aged 1 year,3,Mixed or Multiple ethnic groups,3,3 people in household,18542
E92000001,England,1,Aged 1 year,3,Mixed or Multiple ethnic groups,4,4 people in household,14829
E92000001,England,1,Aged 1 year,3,Mixed or Multiple ethnic groups,5,5 people in household,6372
E92000001,England,1,Aged 1 year,3,Mixed or Multiple ethnic groups,6,6 or more people in household,4383
E92000001,England,1,Aged 1 year,4,White,0,0 people in household,0
E92000001,England,1,Aged 1 year,4,White,1,1 person in household,275
E92000001,England,1,Aged 1 year,4,White,2,2 people in household,27391
E92000001,England,1,Aged 1 year,4,White,3,3 people in household,163742
E92000001,England,1,Aged 1 year,4,White,4,4 people in household,148514
E92000001,England,1,Aged 1 year,4,White,5,5 people in household,57797
E92000001,England,1,Aged 1 year,4,White,6,6 or more people in household,36126
E92000001,England,1,Aged 1 year,5,Other ethnic group,0,0 people in household,0
E92000001,England,1,Aged 1 year,5,Other ethnic group,1,1 person in household,61
E92000001,England,1,Aged 1 year,5,Other ethnic group,2,2 people in household,679
E92000001,England,1,Aged 1 year,5,Other ethnic group,3,3 people in household,3839
E92000001,England,1,Aged 1 year,5,Other ethnic group,4,4 people in household,4777
E92000001,England,1,Aged 1 year,5,Other ethnic group,5,5 people in household,2968
E92000001,England,1,Aged 1 year,5,Other ethnic group,6,6 or more people in household,3660
E92000001,England,2,Aged 2 years,-8,Does not apply,0,0 people in household,0
E92000001,England,2,Aged 2 years,-8,Does not apply,1,1 person in household,0
E92000001,England,2,Aged 2 years,-8,Does not apply,2,2 people in household,0
E92000001,England,2,Aged 2 years,-8,Does not apply,3,3 people in household,0
E92000001,England,2,Aged 2 years,-8,Does not apply,4,4 people in household,0
E92000001,England,2,Aged 2 years,-8,Does not apply,5,5 people in household,0
E92000001,England,2,Aged 2 years,-8,Does not apply,6,6 or more people in household,0
E92000001,England,2,Aged 2 years,1,"Asian, Asian British or Asian Welsh",0,0 people in household,0
E92000001,England,2,Aged 2 years,1,"Asian, Asian British or Asian Welsh",1,1 person in household,17
E92000001,England,2,Aged 2 years,1,"Asian, Asian British or Asian Welsh",2,2 people in household,1431
E92000001,England,2,Aged 2 years,1,"Asian, Asian British or Asian Welsh",3,3 people in household,14796
E92000001,England,2,Aged 2 years,1,"Asian, Asian British or Asian Welsh",4,4 people in household,23425
E92000001,England,2,Aged 2 years,1,"Asian, Asian British or Asian Welsh",5,5 people in household,14611
E92000001,England,2,Aged 2 years,1,"Asian, Asian British or Asian Welsh",6,6 or more people in household,21471
E92000001,England,2,Aged 2 years,2,"Black, Black British, Black Welsh, Caribbean or African",0,0 people in household,0
E92000001,England,2,Aged 2 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,1 person in household,6
E92000001,England,2,Aged 2 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,2 people in household,3053
E92000001,England,2,Aged 2 years,2,"Black, Black British, Black Welsh, Caribbean or African",3,3 people in household,7074
E92000001,England,2,Aged 2 years,2,"Black, Black British, Black Welsh, Caribbean or African",4,4 people in household,9056
E92000001,England,2,Aged 2 years,2,"Black, Black British, Black Welsh, Caribbean or African",5,5 people in household,6235
E92000001,England,2,Aged 2 years,2,"Black, Black British, Black Welsh, Caribbean or African",6,6 or more people in household,6518
E92000001,England,2,Aged 2 years,3,Mixed or Multiple ethnic groups,0,0 people in household,0
E92000001,England,2,Aged 2 years,3,Mixed or Multiple ethnic groups,1,1 person in household,7
E92000001,England,2,Aged 2 years,3,Mixed or Multiple ethnic groups,2,2 people in household,5494
E92000001,England,2,Aged 2 years,3,Mixed or Multiple ethnic groups,3,3 people in household,16223
E92000001,England,2,Aged 2 years,3,Mixed or Multiple ethnic groups,4,4 people in household,16757
E92000001,England,2,Aged 2 years,3,Mixed or Multiple ethnic groups,5,5 people in household,6736
E92000001,England,2,Aged 2 years,3,Mixed or Multiple ethnic groups,6,6 or more people in household,4392
E92000001,England,2,Aged 2 years,4,White,0,0 people in household,0
E92000001,England,2,Aged 2 years,4,White,1,1 person in household,136
E92000001,England,2,Aged 2 years,4,White,2,2 people in household,29711
E92000001,England,2,Aged 2 years,4,White,3,3 people in household,140091
E92000001,England,2,Aged 2 years,4,White,4,4 people in household,173449
E92000001,England,2,Aged 2 years,4,White,5,5 people in household,63847
E92000001,England,2,Aged 2 years,4,White,6,6 or more people in household,37734
E92000001,England,2,Aged 2 years,5,Other ethnic group,0,0 people in household,0
E92000001,England,2,Aged 2 years,5,Other ethnic group,1,1 person in household,31
E92000001,England,2,Aged 2 years,5,Other ethnic group,2,2 people in household,535
E92000001,England,2,Aged 2 years,5,Other ethnic group,3,3 people in household,3517
E92000001,England,2,Aged 2 years,5,Other ethnic group,4,4 people in household,5364
E92000001,England,2,Aged 2 years,5,Other ethnic group,5,5 people in household,3249
E92000001,England,2,Aged 2 years,5,Other ethnic group,6,6 or more people in household,3714
E92000001,England,3,Aged 3 years,-8,Does not apply,0,0 people in household,0
E92000001,England,3,Aged 3 years,-8,Does not apply,1,1 person in household,0
E92000001,England,3,Aged 3 years,-8,Does not apply,2,2 people in household,0
E92000001,England,3,Aged 3 years,-8,Does not apply,3,3 people in household,0
E92000001,England,3,Aged 3 years,-8,Does not apply,4,4 people in household,0
E92000001,England,3,Aged 3 years,-8,Does not apply,5,5 people in household,0
E92000001,England,3,Aged 3 years,-8,Does not apply,6,6 or more people in household,0
E92000001,England,3,Aged 3 years,1,"Asian, Asian British or Asian Welsh",0,0 people in household,0
E92000001,England,3,Aged 3 years,1,"Asian, Asian British or Asian Welsh",1,1 person in household,22
E92000001,England,3,Aged 3 years,1,"Asian, Asian British or Asian Welsh",2,2 people in household,1181
E92000001,England,3,Aged 3 years,1,"Asian, Asian British or Asian Welsh",3,3 people in household,12807
E92000001,England,3,Aged 3 years,1,"Asian, Asian British or Asian Welsh",4,4 people in household,25503
E92000001,England,3,Aged 3 years,1,"Asian, Asian British or Asian Welsh",5,5 people in household,15583
E92000001,England,3,Aged 3 years,1,"Asian, Asian British or Asian Welsh",6,6 or more people in household,21357
E92000001,England,3,Aged 3 years,2,"Black, Black British, Black Welsh, Caribbean or African",0,0 people in household,0
E92000001,England,3,Aged 3 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,1 person in household,7
E92000001,England,3,Aged 3 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,2 people in household,2616
E92000001,England,3,Aged 3 years,2,"Black, Black British, Black Welsh, Caribbean or African",3,3 people in household,6373
E92000001,England,3,Aged 3 years,2,"Black, Black British, Black Welsh, Caribbean or African",4,4 people in household,9332
E92000001,England,3,Aged 3 years,2,"Black, Black British, Black Welsh, Caribbean or African",5,5 people in household,6849
E92000001,England,3,Aged 3 years,2,"Black, Black British, Black Welsh, Caribbean or African",6,6 or more people in household,7101
E92000001,England,3,Aged 3 years,3,Mixed or Multiple ethnic groups,0,0 people in household,0
E92000001,England,3,Aged 3 years,3,Mixed or Multiple ethnic groups,1,1 person in household,4
E92000001,England,3,Aged 3 years,3,Mixed or Multiple ethnic groups,2,2 people in household,4978
E92000001,England,3,Aged 3 years,3,Mixed or Multiple ethnic groups,3,3 people in household,13254
E92000001,England,3,Aged 3 years,3,Mixed or Multiple ethnic groups,4,4 people in household,18462
E92000001,England,3,Aged 3 years,3,Mixed or Multiple ethnic groups,5,5 people in household,7160
E92000001,England,3,Aged 3 years,3,Mixed or Multiple ethnic groups,6,6 or more people in household,4570
E92000001,England,3,Aged 3 years,4,White,0,0 people in household,0
E92000001,England,3,Aged 3 years,4,White,1,1 person in household,23
E92000001,England,3,Aged 3 years,4,White,2,2 people in household,28675
E92000001,England,3,Aged 3 years,4,White,3,3 people in household,114792
E92000001,England,3,Aged 3 years,4,White,4,4 people in household,196700
E92000001,England,3,Aged 3 years,4,White,5,5 people in household,71795
E92000001,England,3,Aged 3 years,4,White,6,6 or more people in household,40464
E92000001,England,3,Aged 3 years,5,Other ethnic group,0,0 people in household,0
E92000001,England,3,Aged 3 years,5,Other ethnic group,1,1 person in household,6
E92000001,England,3,Aged 3 years,5,Other ethnic group,2,2 people in household,497
E92000001,England,3,Aged 3 years,5,Other ethnic group,3,3 people in household,2746
E92000001,England,3,Aged 3 years,5,Other ethnic group,4,4 people in household,5594
E92000001,England,3,Aged 3 years,5,Other ethnic group,5,5 people in household,3669
E92000001,England,3,Aged 3 years,5,Other ethnic group,6,6 or more people in household,3839
E92000001,England,4,Aged 4 years,-8,Does not apply,0,0 people in household,0
E92000001,England,4,Aged 4 years,-8,Does not apply,1,1 person in household,0
E92000001,England,4,Aged 4 years,-8,Does not apply,2,2 people in household,0
E92000001,England,4,Aged 4 years,-8,Does not apply,3,3 people in household,0
E92000001,England,4,Aged 4 years,-8,Does not apply,4,4 people in household,0
E92000001,England,4,Aged 4 years,-8,Does not apply,5,5 people in household,0
E92000001,England,4,Aged 4 years,-8,Does not apply,6,6 or more people in household,0
E92000001,England,4,Aged 4 years,1,"Asian, Asian British or Asian Welsh",0,0 people in household,0
E92000001,England,4,Aged 4 years,1,"Asian, Asian British or Asian Welsh",1,1 person in household,13
E92000001,England,4,Aged 4 years,1,"Asian, Asian British or Asian Welsh",2,2 people in household,1252
E92000001,England,4,Aged 4 years,1,"Asian, Asian British or Asian Welsh",3,3 people in household,11800
E92000001,England,4,Aged 4 years,1,"Asian, Asian British or Asian Welsh",4,4 people in household,27865
E92000001,England,4,Aged 4 years,1,"Asian, Asian British or Asian Welsh",5,5 people in household,17772
E92000001,England,4,Aged 4 years,1,"Asian, Asian British or Asian Welsh",6,6 or more people in household,23055
E92000001,England,4,Aged 4 years,2,"Black, Black British, Black Welsh, Caribbean or African",0,0 people in household,0
E92000001,England,4,Aged 4 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,1 person in household,8
E92000001,England,4,Aged 4 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,2 people in household,2489
E92000001,England,4,Aged 4 years,2,"Black, Black British, Black Welsh, Caribbean or African",3,3 people in household,5999
E92000001,England,4,Aged 4 years,2,"Black, Black British, Black Welsh, Caribbean or African",4,4 people in household,9909
E92000001,England,4,Aged 4 years,2,"Black, Black British, Black Welsh, Caribbean or African",5,5 people in household,7837
E92000001,England,4,Aged 4 years,2,"Black, Black British, Black Welsh, Caribbean or African",6,6 or more people in household,7832
E92000001,England,4,Aged 4 years,3,Mixed or Multiple ethnic groups,0,0 people in household,0
E92000001,England,4,Aged 4 years,3,Mixed or Multiple ethnic groups,1,1 person in household,1
E92000001,England,4,Aged 4 years,3,Mixed or Multiple ethnic groups,2,2 people in household,4617
E92000001,England,4,Aged 4 years,3,Mixed or Multiple ethnic groups,3,3 people in household,12368
E92000001,England,4,Aged 4 years,3,Mixed or Multiple ethnic groups,4,4 people in household,19570
E92000001,England,4,Aged 4 years,3,Mixed or Multiple ethnic groups,5,5 people in household,7888
E92000001,England,4,Aged 4 years,3,Mixed or Multiple ethnic groups,6,6 or more people in household,4602
E92000001,England,4,Aged 4 years,4,White,0,0 people in household,0
E92000001,England,4,Aged 4 years,4,White,1,1 person in household,35
E92000001,England,4,Aged 4 years,4,White,2,2 people in household,28125
E92000001,England,4,Aged 4 years,4,White,3,3 people in household,101828
E92000001,England,4,Aged 4 years,4,White,4,4 people in household,211731
E92000001,England,4,Aged 4 years,4,White,5,5 people in household,79349
E92000001,England,4,Aged 4 years,4,White,6,6 or more people in household,43134
E92000001,England,4,Aged 4 years,5,Other ethnic group,0,0 people in household,0
E92000001,England,4,Aged 4 years,5,Other ethnic group,1,1 person in household,18
E92000001,England,4,Aged 4 years,5,Other ethnic group,2,2 people in household,455
E92000001,England,4,Aged 4 years,5,Other ethnic group,3,3 people in household,2566
E92000001,England,4,Aged 4 years,5,Other ethnic group,4,4 people in household,5860
E92000001,England,4,Aged 4 years,5,Other ethnic group,5,5 people in household,4053
E92000001,England,4,Aged 4 years,5,Other ethnic group,6,6 or more people in household,4220
E92000001,England,5,Aged 5 years,-8,Does not apply,0,0 people in household,0
E92000001,England,5,Aged 5 years,-8,Does not apply,1,1 person in household,0
E92000001,England,5,Aged 5 years,-8,Does not apply,2,2 people in household,0
E92000001,England,5,Aged 5 years,-8,Does not apply,3,3 people in household,0
E92000001,England,5,Aged 5 years,-8,Does not apply,4,4 people in household,0
E92000001,England,5,Aged 5 years,-8,Does not apply,5,5 people in household,0
E92000001,England,5,Aged 5 years,-8,Does not apply,6,6 or more people in household,0
E92000001,England,5,Aged 5 years,1,"Asian, Asian British or Asian Welsh",0,0 people in household,0
E92000001,England,5,Aged 5 years,1,"Asian, Asian British or Asian Welsh",1,1 person in household,11
E92000001,England,5,Aged 5 years,1,"Asian, Asian British or Asian Welsh",2,2 people in household,1244
E92000001,England,5,Aged 5 years,1,"Asian, Asian British or Asian Welsh",3,3 people in household,10020
E92000001,England,5,Aged 5 years,1,"Asian, Asian British or Asian Welsh",4,4 people in household,27883
E92000001,England,5,Aged 5 years,1,"Asian, Asian British or Asian Welsh",5,5 people in household,19053
E92000001,England,5,Aged 5 years,1,"Asian, Asian British or Asian Welsh",6,6 or more people in household,22925
E92000001,England,5,Aged 5 years,2,"Black, Black British, Black Welsh, Caribbean or African",0,0 people in household,0
E92000001,England,5,Aged 5 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,1 person in household,3
E92000001,England,5,Aged 5 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,2 people in household,2527
E92000001,England,5,Aged 5 years,2,"Black, Black British, Black Welsh, Caribbean or African",3,3 people in household,5932
E92000001,England,5,Aged 5 years,2,"Black, Black British, Black Welsh, Caribbean or African",4,4 people in household,9826
E92000001,England,5,Aged 5 years,2,"Black, Black British, Black Welsh, Caribbean or African",5,5 people in household,8381
E92000001,England,5,Aged 5 years,2,"Black, Black British, Black Welsh, Caribbean or African",6,6 or more people in household,8382
E92000001,England,5,Aged 5 years,3,Mixed or Multiple ethnic groups,0,0 people in household,0
E92000001,England,5,Aged 5 years,3,Mixed or Multiple ethnic groups,1,1 person in household,3
E92000001,England,5,Aged 5 years,3,Mixed or Multiple ethnic groups,2,2 people in household,4483
E92000001,England,5,Aged 5 years,3,Mixed or Multiple ethnic groups,3,3 people in household,11259
E92000001,England,5,Aged 5 years,3,Mixed or Multiple ethnic groups,4,4 people in household,19345
E92000001,England,5,Aged 5 years,3,Mixed or Multiple ethnic groups,5,5 people in household,8404
E92000001,England,5,Aged 5 years,3,Mixed or Multiple ethnic groups,6,6 or more people in household,5003
E92000001,England,5,Aged 5 years,4,White,0,0 people in household,0
E92000001,England,5,Aged 5 years,4,White,1,1 person in household,81
E92000001,England,5,Aged 5 years,4,White,2,2 people in household,25752
E92000001,England,5,Aged 5 years,4,White,3,3 people in household,96141
E92000001,England,5,Aged 5 years,4,White,4,4 people in household,219690
E92000001,England,5,Aged 5 years,4,White,5,5 people in household,87872
E92000001,England,5,Aged 5 years,4,White,6,6 or more people in household,46107
E92000001,England,5,Aged 5 years,5,Other ethnic group,0,0 people in household,0
E92000001,England,5,Aged 5 years,5,Other ethnic group,1,1 person in household,1
E92000001,England,5,Aged 5 years,5,Other ethnic group,2,2 people in household,469
E92000001,England,5,Aged 5 years,5,Other ethnic group,3,3 people in household,2316
E92000001,England,5,Aged 5 years,5,Other ethnic group,4,4 people in household,6223
E92000001,England,5,Aged 5 years,5,Other ethnic group,5,5 people in household,4485
E92000001,England,5,Aged 5 years,5,Other ethnic group,6,6 or more people in household,4439
E92000001,England,6,Aged 6 years,-8,Does not apply,0,0 people in household,0
E92000001,England,6,Aged 6 years,-8,Does not apply,1,1 person in household,0
E92000001,England,6,Aged 6 years,-8,Does not apply,2,2 people in household,0
E92000001,England,6,Aged 6 years,-8,Does not apply,3,3 people in household,0
E92000001,England,6,Aged 6 years,-8,Does not apply,4,4 people in household,0
E92000001,England,6,Aged 6 years,-8,Does not apply,5,5 people in household,0
E92000001,England,6,Aged 6 years,-8,Does not apply,6,6 or more people in household,0
E92000001,England,6,Aged 6 years,1,"Asian, Asian British or Asian Welsh",0,0 people in household,0
E92000001,England,6,Aged 6 years,1,"Asian, Asian British or Asian Welsh",1,1 person in household,8
E92000001,England,6,Aged 6 years,1,"Asian, Asian British or Asian Welsh",2,2 people in household,1184
E92000001,England,6,Aged 6 years,1,"Asian, Asian British or Asian Welsh",3,3 people in household,9411
E92000001,England,6,Aged 6 years,1,"Asian, Asian British or Asian Welsh",4,4 people in household,27958
E92000001,England,6,Aged 6 years,1,"Asian, Asian British or Asian Welsh",5,5 people in household,19968
E92000001,England,6,Aged 6 years,1,"Asian, Asian British or Asian Welsh",6,6 or more people in household,23439
E92000001,England,6,Aged 6 years,2,"Black, Black British, Black Welsh, Caribbean or African",0,0 people in household,0
E92000001,England,6,Aged 6 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,1 person in household,2
E92000001,England,6,Aged 6 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,2 people in household,2307
E92000001,England,6,Aged 6 years,2,"Black, Black British, Black Welsh, Caribbean or African",3,3 people in household,5602
E92000001,England,6,Aged 6 years,2,"Black, Black British, Black Welsh, Caribbean or African",4,4 people in household,9705
E92000001,England,6,Aged 6 years,2,"Black, Black British, Black Welsh, Caribbean or African",5,5 people in household,8666
E92000001,England,6,Aged 6 years,2,"Black, Black British, Black Welsh, Caribbean or African",6,6 or more people in household,8522
E92000001,England,6,Aged 6 years,3,Mixed or Multiple ethnic groups,0,0 people in household,0
E92000001,England,6,Aged 6 years,3,Mixed or Multiple ethnic groups,1,1 person in household,9
E92000001,England,6,Aged 6 years,3,Mixed or Multiple ethnic groups,2,2 people in household,4020
E92000001,England,6,Aged 6 years,3,Mixed or Multiple ethnic groups,3,3 people in household,10771
E92000001,England,6,Aged 6 years,3,Mixed or Multiple ethnic groups,4,4 people in household,18792
E92000001,England,6,Aged 6 years,3,Mixed or Multiple ethnic groups,5,5 people in household,8433
E92000001,England,6,Aged 6 years,3,Mixed or Multiple ethnic groups,6,6 or more people in household,5013
E92000001,England,6,Aged 6 years,4,White,0,0 people in household,0
E92000001,England,6,Aged 6 years,4,White,1,1 person in household,100
E92000001,England,6,Aged 6 years,4,White,2,2 people in household,24652
E92000001,England,6,Aged 6 years,4,White,3,3 people in household,91246
E92000001,England,6,Aged 6 years,4,White,4,4 people in household,214389
E92000001,England,6,Aged 6 years,4,White,5,5 people in household,90987
E92000001,England,6,Aged 6 years,4,White,6,6 or more people in household,47437
E92000001,England,6,Aged 6 years,5,Other ethnic group,0,0 people in household,0
E92000001,England,6,Aged 6 years,5,Other ethnic group,1,1 person in household,5
E92000001,England,6,Aged 6 years,5,Other ethnic group,2,2 people in household,465
E92000001,England,6,Aged 6 years,5,Other ethnic group,3,3 people in household,2100
E92000001,England,6,Aged 6 years,5,Other ethnic group,4,4 people in household,5886
E92000001,England,6,Aged 6 years,5,Other ethnic group,5,5 people in household,4633
E92000001,England,6,Aged 6 years,5,Other ethnic group,6,6 or more people in household,4510
E92000001,England,7,Aged 7 years,-8,Does not apply,0,0 people in household,0
E92000001,England,7,Aged 7 years,-8,Does not apply,1,1 person in household,0
E92000001,England,7,Aged 7 years,-8,Does not apply,2,2 people in household,0
E92000001,England,7,Aged 7 years,-8,Does not apply,3,3 people in household,0
E92000001,England,7,Aged 7 years,-8,Does not apply,4,4 people in household,0
E92000001,England,7,Aged 7 years,-8,Does not apply,5,5 people in household,0
E92000001,England,7,Aged 7 years,-8,Does not apply,6,6 or more people in household,0
E92000001,England,7,Aged 7 years,1,"Asian, Asian British or Asian Welsh",0,0 people in household,0
E92000001,England,7,Aged 7 years,1,"Asian, Asian British or Asian Welsh",1,1 person in household,12
E92000001,England,7,Aged 7 years,1,"Asian, Asian British or Asian Welsh",2,2 people in household,1150
E92000001,England,7,Aged 7 years,1,"Asian, Asian British or Asian Welsh",3,3 people in household,8658
E92000001,England,7,Aged 7 years,1,"Asian, Asian British or Asian Welsh",4,4 people in household,27324
E92000001,England,7,Aged 7 years,1,"Asian, Asian British or Asian Welsh",5,5 people in household,20894
E92000001,England,7,Aged 7 years,1,"Asian, Asian British or Asian Welsh",6,6 or more people in household,24806
E92000001,England,7,Aged 7 years,2,"Black, Black British, Black Welsh, Caribbean or African",0,0 people in household,0
E92000001,England,7,Aged 7 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,1 person in household,4
E92000001,England,7,Aged 7 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,2 people in household,2219
E92000001,England,7,Aged 7 years,2,"Black, Black British, Black Welsh, Caribbean or African",3,3 people in household,5687
E92000001,England,7,Aged 7 years,2,"Black, Black British, Black Welsh, Caribbean or African",4,4 people in household,9808
E92000001,England,7,Aged 7 years,2,"Black, Black British, Black Welsh, Caribbean or African",5,5 people in household,9054
E92000001,England,7,Aged 7 years,2,"Black, Black British, Black Welsh, Caribbean or African",6,6 or more people in household,9370
E92000001,England,7,Aged 7 years,3,Mixed or Multiple ethnic groups,0,0 people in household,0
E92000001,England,7,Aged 7 years,3,Mixed or Multiple ethnic groups,1,1 person in household,6
E92000001,England,7,Aged 7 years,3,Mixed or Multiple ethnic groups,2,2 people in household,3944
E92000001,England,7,Aged 7 years,3,Mixed or Multiple ethnic groups,3,3 people in household,10670
E92000001,England,7,Aged 7 years,3,Mixed or Multiple ethnic groups,4,4 people in household,17906
E92000001,England,7,Aged 7 years,3,Mixed or Multiple ethnic groups,5,5 people in household,8424
E92000001,England,7,Aged 7 years,3,Mixed or Multiple ethnic groups,6,6 or more people in household,4848
E92000001,England,7,Aged 7 years,4,White,0,0 people in household,0
E92000001,England,7,Aged 7 years,4,White,1,1 person in household,65
E92000001,England,7,Aged 7 years,4,White,2,2 people in household,24464
E92000001,England,7,Aged 7 years,4,White,3,3 people in household,91442
E92000001,England,7,Aged 7 years,4,White,4,4 people in household,214397
