Regions Code,Regions,Age (17 categories) Code,Age (17 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Economic activity status (10 categories) Code,Economic activity status (10 categories),Observation
E12000007,London,1,Aged 15 years and under,4,White,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E12000007,London,1,Aged 15 years and under,4,White,5,Economically inactive: Retired,0
E12000007,London,1,Aged 15 years and under,4,White,6,Economically inactive: Student,0
E12000007,London,1,Aged 15 years and under,4,White,7,Economically inactive: Looking after home or family,0
E12000007,London,1,Aged 15 years and under,4,White,8,Economically inactive: Long-term sick or disabled,0
E12000007,London,1,Aged 15 years and under,4,White,9,Economically inactive: Other,0
E12000007,London,1,Aged 15 years and under,5,Other ethnic group,-8,Does not apply,112530
E12000007,London,1,Aged 15 years and under,5,Other ethnic group,1,Economically active (excluding full-time students): In employment,0
E12000007,London,1,Aged 15 years and under,5,Other ethnic group,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E12000007,London,1,Aged 15 years and under,5,Other ethnic group,3,Economically active and a full-time student: In employment,0
E12000007,London,1,Aged 15 years and under,5,Other ethnic group,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E12000007,London,1,Aged 15 years and under,5,Other ethnic group,5,Economically inactive: Retired,0
E12000007,London,1,Aged 15 years and under,5,Other ethnic group,6,Economically inactive: Student,0
E12000007,London,1,Aged 15 years and under,5,Other ethnic group,7,Economically inactive: Looking after home or family,0
E12000007,London,1,Aged 15 years and under,5,Other ethnic group,8,Economically inactive: Long-term sick or disabled,0
E12000007,London,1,Aged 15 years and under,5,Other ethnic group,9,Economically inactive: Other,0
E12000007,London,2,Aged 16 to 17 years,-8,Does not apply,-8,Does not apply,0
E12000007,London,2,Aged 16 to 17 years,-8,Does not apply,1,Economically active (excluding full-time students): In employment,0
E12000007,London,2,Aged 16 to 17 years,-8,Does not apply,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E12000007,London,2,Aged 16 to 17 years,-8,Does not apply,3,Economically active and a full-time student: In employment,0
E12000007,London,2,Aged 16 to 17 years,-8,Does not apply,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E12000007,London,2,Aged 16 to 17 years,-8,Does not apply,5,Economically inactive: Retired,0
E12000007,London,2,Aged 16 to 17 years,-8,Does not apply,6,Economically inactive: Student,0
E12000007,London,2,Aged 16 to 17 years,-8,Does not apply,7,Economically inactive: Looking after home or family,0
E12000007,London,2,Aged 16 to 17 years,-8,Does not apply,8,Economically inactive: Long-term sick or disabled,0
E12000007,London,2,Aged 16 to 17 years,-8,Does not apply,9,Economically inactive: Other,0
E12000007,London,2,Aged 16 to 17 years,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,0
E12000007,London,2,Aged 16 to 17 years,1,"Asian, Asian British or Asian Welsh",1,Economically active (excluding full-time students): In employment,137
E12000007,London,2,Aged 16 to 17 years,1,"Asian, Asian British or Asian Welsh",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,122
E12000007,London,2,Aged 16 to 17 years,1,"Asian, Asian British or Asian Welsh",3,Economically active and a full-time student: In employment,1093
E12000007,London,2,Aged 16 to 17 years,1,"Asian, Asian British or Asian Welsh",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1425
E12000007,London,2,Aged 16 to 17 years,1,"Asian, Asian British or Asian Welsh",5,Economically inactive: Retired,4
E12000007,London,2,Aged 16 to 17 years,1,"Asian, Asian British or Asian Welsh",6,Economically inactive: Student,43076
E12000007,London,2,Aged 16 to 17 years,1,"Asian, Asian British or Asian Welsh",7,Economically inactive: Looking after home or family,49
E12000007,London,2,Aged 16 to 17 years,1,"Asian, Asian British or Asian Welsh",8,Economically inactive: Long-term sick or disabled,21
E12000007,London,2,Aged 16 to 17 years,1,"Asian, Asian British or Asian Welsh",9,Economically inactive: Other,316
E12000007,London,2,Aged 16 to 17 years,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,0
E12000007,London,2,Aged 16 to 17 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Economically active (excluding full-time students): In employment,133
E12000007,London,2,Aged 16 to 17 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,174
E12000007,London,2,Aged 16 to 17 years,2,"Black, Black British, Black Welsh, Caribbean or African",3,Economically active and a full-time student: In employment,1006
E12000007,London,2,Aged 16 to 17 years,2,"Black, Black British, Black Welsh, Caribbean or African",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2594
E12000007,London,2,Aged 16 to 17 years,2,"Black, Black British, Black Welsh, Caribbean or African",5,Economically inactive: Retired,2
E12000007,London,2,Aged 16 to 17 years,2,"Black, Black British, Black Welsh, Caribbean or African",6,Economically inactive: Student,37784
E12000007,London,2,Aged 16 to 17 years,2,"Black, Black British, Black Welsh, Caribbean or African",7,Economically inactive: Looking after home or family,42
E12000007,London,2,Aged 16 to 17 years,2,"Black, Black British, Black Welsh, Caribbean or African",8,Economically inactive: Long-term sick or disabled,25
E12000007,London,2,Aged 16 to 17 years,2,"Black, Black British, Black Welsh, Caribbean or African",9,Economically inactive: Other,376
E12000007,London,2,Aged 16 to 17 years,3,Mixed or Multiple ethnic groups,-8,Does not apply,0
E12000007,London,2,Aged 16 to 17 years,3,Mixed or Multiple ethnic groups,1,Economically active (excluding full-time students): In employment,161
E12000007,London,2,Aged 16 to 17 years,3,Mixed or Multiple ethnic groups,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,145
E12000007,London,2,Aged 16 to 17 years,3,Mixed or Multiple ethnic groups,3,Economically active and a full-time student: In employment,613
E12000007,London,2,Aged 16 to 17 years,3,Mixed or Multiple ethnic groups,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,892
E12000007,London,2,Aged 16 to 17 years,3,Mixed or Multiple ethnic groups,5,Economically inactive: Retired,2
E12000007,London,2,Aged 16 to 17 years,3,Mixed or Multiple ethnic groups,6,Economically inactive: Student,16474
E12000007,London,2,Aged 16 to 17 years,3,Mixed or Multiple ethnic groups,7,Economically inactive: Looking after home or family,46
E12000007,London,2,Aged 16 to 17 years,3,Mixed or Multiple ethnic groups,8,Economically inactive: Long-term sick or disabled,37
E12000007,London,2,Aged 16 to 17 years,3,Mixed or Multiple ethnic groups,9,Economically inactive: Other,263
E12000007,London,2,Aged 16 to 17 years,4,White,-8,Does not apply,0
E12000007,London,2,Aged 16 to 17 years,4,White,1,Economically active (excluding full-time students): In employment,1405
E12000007,London,2,Aged 16 to 17 years,4,White,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,730
E12000007,London,2,Aged 16 to 17 years,4,White,3,Economically active and a full-time student: In employment,3578
E12000007,London,2,Aged 16 to 17 years,4,White,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3268
E12000007,London,2,Aged 16 to 17 years,4,White,5,Economically inactive: Retired,6
E12000007,London,2,Aged 16 to 17 years,4,White,6,Economically inactive: Student,67678
E12000007,London,2,Aged 16 to 17 years,4,White,7,Economically inactive: Looking after home or family,296
E12000007,London,2,Aged 16 to 17 years,4,White,8,Economically inactive: Long-term sick or disabled,147
E12000007,London,2,Aged 16 to 17 years,4,White,9,Economically inactive: Other,1220
E12000007,London,2,Aged 16 to 17 years,5,Other ethnic group,-8,Does not apply,0
E12000007,London,2,Aged 16 to 17 years,5,Other ethnic group,1,Economically active (excluding full-time students): In employment,79
E12000007,London,2,Aged 16 to 17 years,5,Other ethnic group,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,56
E12000007,London,2,Aged 16 to 17 years,5,Other ethnic group,3,Economically active and a full-time student: In employment,305
E12000007,London,2,Aged 16 to 17 years,5,Other ethnic group,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,534
E12000007,London,2,Aged 16 to 17 years,5,Other ethnic group,5,Economically inactive: Retired,3
E12000007,London,2,Aged 16 to 17 years,5,Other ethnic group,6,Economically inactive: Student,14231
E12000007,London,2,Aged 16 to 17 years,5,Other ethnic group,7,Economically inactive: Looking after home or family,46
E12000007,London,2,Aged 16 to 17 years,5,Other ethnic group,8,Economically inactive: Long-term sick or disabled,13
E12000007,London,2,Aged 16 to 17 years,5,Other ethnic group,9,Economically inactive: Other,203
E12000007,London,3,Aged 18 to 19 years,-8,Does not apply,-8,Does not apply,0
E12000007,London,3,Aged 18 to 19 years,-8,Does not apply,1,Economically active (excluding full-time students): In employment,0
E12000007,London,3,Aged 18 to 19 years,-8,Does not apply,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E12000007,London,3,Aged 18 to 19 years,-8,Does not apply,3,Economically active and a full-time student: In employment,0
E12000007,London,3,Aged 18 to 19 years,-8,Does not apply,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E12000007,London,3,Aged 18 to 19 years,-8,Does not apply,5,Economically inactive: Retired,0
E12000007,London,3,Aged 18 to 19 years,-8,Does not apply,6,Economically inactive: Student,0
E12000007,London,3,Aged 18 to 19 years,-8,Does not apply,7,Economically inactive: Looking after home or family,0
